英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　Woodcutter'sGrit,木こりの気概（きこりのきがい）,　6,6,　コモン,　インスタント,　２緑,あなたがコントロールするクリーチャー１体を対象とする。ターン終了時まで、それは+3/+3の修整を受けるとともに呪禁を得る。（それはあなたの対戦相手がコントロールする呪文や能力の対象にならない。）
　WoodlandPatrol,森林の巡回者（しんりんのじゅんかいしゃ）,　3,2,　コモン,　クリーチャー,　２緑,警戒
　BloodhallPriest,血の間の僧侶（ちのまのそうりょ）,　4,4,　レア,　クリーチャー,　２黒赤,血の間の僧侶が戦場に出るか攻撃するたび、あなたの手札にカードが無い場合、クリーチャー１体かプレイヤー１人を対象とする。血の間の僧侶はそれに２点のダメージを与える。マッドネス(１)(黒)(赤)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　CampaignofVengeance,復讐作戦（ふくしゅうさくせん）,　4,4,　アンコモン,　エンチャント,　３白黒,あなたがコントロールするクリーチャーが１体攻撃するたび、防御プレイヤーは１点のライフを失い、あなたは１点のライフを得る。
　GisaandGeralf,ギサとゲラルフ（ぎさとげらるふ）,　4,4,　神話レア,　伝説のクリーチャー,　２青黒,ギサとゲラルフが戦場に出たとき、あなたのライブラリーの一番上からカードを４枚あなたの墓地に置く。あなたの各ターンの間、あなたはあなたの墓地からゾンビ(Zombie)・クリーチャー・カードを１枚唱えてもよい。
　GrimFlayer,残忍な剥ぎ取り（ざんにんなはぎとり）,　2,2,　神話レア,　クリーチャー,　黒緑,トランプル残忍な剥ぎ取りがプレイヤー１人に戦闘ダメージを与えるたび、あなたのライブラリーの一番上からカードを３枚見る。そのうちの望む枚数をあなたの墓地に置き、残りをあなたのライブラリーの一番上に望む順番で置く。昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、残忍な剥ぎ取りは+2/+2の修整を受ける。
　Heron'sGraceChampion,優雅な鷺の勇者（ゆうがなさぎのゆうしゃ）,　3,3,　レア,　クリーチャー,　２緑白,瞬速絆魂優雅な鷺の勇者が戦場に出たとき、ターン終了時まで、あなたがコントロールする他の人間(Human)は+1/+1の修整を受けるとともに絆魂を得る。
　MercurialGeists,気紛れな霊（きまぐれなれい）,　1,3,　アンコモン,　クリーチャー,　２青赤,飛行あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、ターン終了時まで、気紛れな霊は+3/+0の修整を受ける。
　Mournwillow,嘆き細工（なげきざいく）,　3,2,　アンコモン,　クリーチャー,　１黒緑,速攻昂揚―嘆き細工が戦場に出たとき、あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれる場合、このターン、パワーが２以下のクリーチャーではブロックできない。
　RideDown,騎乗追撃（きじょうついげき）,　3,2,　アンコモン,　インスタント,　赤白,ブロック・クリーチャー１体を対象とし、それを破壊する。ターン終了時まで、この戦闘でそのクリーチャーにブロックされていたクリーチャーはトランプルを得る。
　SpellQueller,呪文捕らえ（じゅもんとらえ）,　2,3,　レア,　クリーチャー,　１白青,瞬速飛行呪文捕らえが戦場に出たとき、点数で見たマナ・コストが４以下の呪文１つを対象とし、それを追放する。呪文捕らえが戦場を離れたとき、その追放されたカードのオーナーはそのカードをそれのマナ・コストを支払うことなく唱えてもよい。
　Tamiyo FieldResearcher,実地研究者、タミヨウ（じっちけんきゅうしゃたみよう）,　2,3,　神話レア,　プレインズウォーカー,　１緑白青,[+1]：クリーチャー最大２体を対象とする。あなたの次のターンまで、対象としたクリーチャーが１体戦闘ダメージを与えるたび、あなたはカードを１枚引く。[-2]：土地でないパーマネント最大２つを対象とし、それらをタップする。それらは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。[-7]：カードを３枚引く。あなたは「あなたは、あなたの手札から土地でないカードを、それらのマナ・コストを支払うことなく唱えてもよい。」を持つ紋章を得る。　忠誠度：4
　Ulrich UncontestedAlpha,揺るぎない頭目、ウルリッチ（ゆるぎないとうもくうるりっち）,　6,6,　神話レア,　〔赤/緑〕伝説のクリーチャー,　３赤緑,このクリーチャーが戦場に出るか爪の群れのウルリッチに変身するたび、クリーチャー１体を対象とする。ターン終了時まで、それは+4/+4の修整を受ける。各アップキープの開始時に、直前のターンに呪文が唱えられていなかった場合、爪の群れのウルリッチを変身させる。このクリーチャーが揺るぎない頭目、ウルリッチに変身するたび、あなたがコントロールしておらず狼男(Werewolf)でないクリーチャー１体を対象とする。あなたは「このクリーチャーはそれと格闘を行う。」を選んでもよい。各アップキープの開始時に、直前のターンにプレイヤー１人が２つ以上の呪文を唱えていた場合、揺るぎない頭目、ウルリッチを変身させる。
　Cathar'sShield,聖戦士の盾（せいせんしのたて）,　6,6,　コモン,　アーティファクト,　０,装備しているクリーチャーは+0/+3の修整を受けるとともに警戒を持つ。装備(３)（(３)：あなたがコントロールするクリーチャー１体を対象とし、それにつける。装備はソーサリーとしてのみ行う。）
　AuroraofEmrakul,エムラクールのオーロラ（えむらくーるのおーろら）,　1,4,　アンコモン,　クリーチャー,　３,謎の石の断片はタップ状態で戦場に出る。(Ｔ)：あなたのマナ・プールに、好きな色１色のマナ１点を加える。各プレイヤーはそれぞれ１点のライフを失う。あなたのアップキープの開始時に、各プレイヤーのライフがそれぞれ１０点以下であった場合、謎の石の断片を変身させる。飛行、接死エムラクールのオーロラが攻撃するたび、各対戦相手はそれぞれ３点のライフを失う。
　Cultist'sStaff,信者の杖（しんじゃのつえ）,　1,4,　コモン,　アーティファクト,　２,装備しているクリーチャーは+2/+2の修整を受ける。装備(３)（(３)：あなたがコントロールするクリーチャー１体を対象とし、それにつける。装備はソーサリーとしてのみ行う。）
　FieldCreeper,耕地這い（こうちばい）,　2,1,　コモン,　アーティファクト・クリーチャー,　２,
　Geist-FueledScarecrow,霊動カカシ（れいどうかかし）,　4,4,　アンコモン,　アーティファクト・クリーチャー,　４,あなたがクリーチャー呪文を唱えるためのコストは(１)増える。
　LupinePrototype,狼の試作機（おおかみのしさくき）,　5,5,　レア,　アーティファクト・クリーチャー,　２,すべてのプレイヤーの手札にカードがあるかぎり、狼の試作機では攻撃したりブロックしたりできない。
　Slayer'sCleaver,処刑者の大包丁（しょけいしゃのだいほうちょう）,　5,5,　アンコモン,　アーティファクト,　３,装備しているクリーチャーは+3/+1の修整を受けるとともに、可能ならエルドラージ(Eldrazi)でブロックされなければならない。装備(４)
　SoulSeparator,魂分離機（たましいぶんりき）,　5,5,　レア,　アーティファクト,　３,(５) (Ｔ) 魂分離機を生け贄に捧げる：あなたの墓地からクリーチャー・カード１枚を対象とし、それを追放する。1/1であることと、それの他のタイプに加えてスピリット(Spirit)であることと、飛行を持つことを除き、そのカードのコピーであるトークンを１体戦場に出す。そのカードのパワーに等しいパワーとそのカードのタフネスに等しいタフネスを持つ黒のゾンビ(Zombie)・クリーチャー・トークンを１体戦場に出す。
　Stitcher'sGraft,縫い師の移植（ぬいしのいしょく）,　5,5,　レア,　アーティファクト,　１,装備しているクリーチャーは+3/+3の修整を受ける。装備しているクリーチャーが攻撃するたび、それはそれのコントローラーの次のアンタップ・ステップにアンタップしない。縫い師の移植がパーマネントからはずれた状態になるたび、そのパーマネントを生け贄に捧げる。装備(２)
　Terrarion,テラリオン（てらりおん）,　5,5,　コモン,　アーティファクト,　１,テラリオンはタップ状態で戦場に出る。(２) (Ｔ) テラリオンを生け贄に捧げる：あなたのマナ・プールに、好きな色の組み合わせのマナ２点を加える。テラリオンが戦場から墓地に置かれたとき、カードを１枚引く。
　ThirstingAxe,血に飢えた斧（ちにうえたおの）,　5,5,　アンコモン,　アーティファクト,　３,装備しているクリーチャーは+4/+0の修整を受ける。あなたの終了ステップの開始時に、装備しているクリーチャーがこのターンにクリーチャーに戦闘ダメージを与えていなかった場合、装備しているクリーチャーを生け贄に捧げる。装備(２)
　GeierReachSanitarium,ガイアー岬の療養所（がいあーみさきのりょうようじょ）,　5,5,　レア,　伝説の土地,　３,(Ｔ)：あなたのマナ・プールに(◇)を加える。(２) (Ｔ)：各プレイヤーはそれぞれ、カードを１枚引き、その後カード１枚を捨てる。
　HanweirBattlements,ハンウィアーの要塞（はんうぃあーのようさい）,　5,5,　レア,　土地,　３,(Ｔ)：あなたのマナ・プールに(◇)を加える。(赤) (Ｔ)：クリーチャー１体を対象とする。ターン終了時まで、それは速攻を得る。(３)(赤)(赤) (Ｔ)：あなたがハンウィアーの要塞と《ハンウィアー守備隊/HanweirGarrison》という名前のクリーチャーを１体コントロールしているとともにそれらのオーナーでもあるなら、それらを追放し、その後それらを《のたうつ居住区、ハンウィアー/Hanweir theWrithingTownship》へと合体させる。
　NephaliaAcademy,ネファリアのアカデミー（ねふぃりあのあかでみー）,　5,5,　アンコモン,　土地,　３,対戦相手がコントロールする呪文か能力によってあなたがカードを捨てるなら、あなたは、そのカードを他のいずれかの領域に置く代わりに、そのカードを公開してあなたのライブラリーの一番上に置いてもよい。(Ｔ)：あなたのマナ・プールに(◇)を加える。
英語名,日本語名,パワー,タフネス,レアリティ,タイプ,マナコスト,能力
　AbundantMaw,甚だしい大口（はなはだしいおおぐち）,　6,4,　アンコモン,　クリーチャー,　８,現出(６)(黒)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが甚だしい大口を唱えたとき、対戦相手１人を対象とする。そのプレイヤーは３点のライフを失い、あなたは３点のライフを得る。
　DecimatoroftheProvinces,州民を滅ぼすもの（しゅうみんをほろぼすもの）,　7,7,　神話レア,　クリーチャー,　１０,現出(６)(緑)(緑)(緑)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが州民を滅ぼすものを唱えたとき、ターン終了時まで、あなたがコントロールするクリーチャーは+2/+2の修整を受けるとともにトランプルを得る。トランプル、速攻
　DistendedMindbender,膨らんだ意識曲げ（ふくらんだいしきまげ）,　5,5,　レア,　クリーチャー,　８,現出(５)(黒)(黒)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが膨らんだ意識曲げを唱えたとき、対戦相手１人を対象とする。そのプレイヤーは自分の手札を公開する。あなたはその中から、点数で見たマナ・コストが３以下の土地でないカード１枚と、点数で見たマナ・コストが４以上のカード１枚を選ぶ。そのプレイヤーはそれらのカードを捨てる。
　DrownyardBehemoth,溺墓のビヒモス（できぼのびひもす）,　5,7,　アンコモン,　クリーチャー,　９,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）現出(７)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）溺墓のビヒモスは、これがこのターンに戦場に出たのであるかぎり、呪禁を持つ。
　ElderDeep-Fiend,老いたる深海鬼（おいたるしんかいき）,　5,6,　レア,　クリーチャー,　８,瞬速現出(５)(青)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが老いたる深海鬼を唱えたとき、パーマネント最大４つを対象とし、それらをタップする。
　Emrakul thePromisedEnd,約束された終末、エムラクール（やくそくされたしゅうまつえむらくーる）,　13,13,　神話レア,　伝説のクリーチャー,　１３,約束された終末、エムラクールを唱えるためのコストは、あなたの墓地にあるカードに含まれるカード・タイプ１種類につき(１)少なくなる。あなたが約束された終末、エムラクールを唱えたとき、対戦相手１人を対象とする。そのプレイヤーの次のターンの間、あなたはそのプレイヤーのコントロールを得る。そのターンに続いて、そのプレイヤーは追加の１ターンを得る。飛行、トランプル、プロテクション（インスタント）
　EternalScourge,永遠の災い魔（えいえんのわざわいま）,　3,3,　レア,　クリーチャー,　３,あなたは追放領域から永遠の災い魔を唱えてもよい。永遠の災い魔が対戦相手がコントロールする呪文や能力の対象になったとき、永遠の災い魔を追放する。
　ItoftheHorridSwarm,忌まわしい群れの存在（いまわしいむれのそんざい）,　4,4,　コモン,　クリーチャー,　８,現出(６)(緑)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが忌まわしい群れの存在を唱えたとき、緑の1/1の昆虫(Insect)クリーチャー・トークンを２体戦場に出す。
　LashweedLurker,絡み草の闇潜み（からみぐさのやみひそみ）,　5,4,　アンコモン,　クリーチャー,　８,現出(５)(緑)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが絡み草の闇潜みを唱えたとき、土地でないパーマネント１つを対象とする。あなたはそれをオーナーのライブラリーの一番上に置いてもよい。
　MockeryofNature,自然もどき（しぜんもどき）,　6,5,　アンコモン,　クリーチャー,　９,現出(７)(緑)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが自然もどきを唱えたとき、アーティファクト１つかエンチャント１つを対象とする。あなたはそれを破壊してもよい。
　VexingScuttler,厄介な船沈め（やっかいなふねしずめ）,　4,5,　アンコモン,　クリーチャー,　８,現出(６)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが厄介な船沈めを唱えたとき、あなたの墓地からインスタント・カード１枚かソーサリー・カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。
　WretchedGryff,不憫なグリフ（ふびんなぐりふ）,　3,4,　コモン,　クリーチャー,　７,現出(５)(青)（あなたはこの呪文を、クリーチャー１体を生け贄に捧げるとともに(Ｘ)だけ減らした現出コストを支払って唱えてもよい。Ｘはそのクリーチャーの点数で見たマナ・コストに等しい。）あなたが不憫なグリフを唱えたとき、カードを１枚引く。飛行
　BlessedAlliance,神聖な協力（しんせいなきょうりょく）,　3,4,　アンコモン,　インスタント,　１白,増呪(２)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・プレイヤー１人を対象とする。そのプレイヤーは４点のライフを得る。・クリーチャー最大２体を対象とし、それらをアンタップする。・対戦相手１人を対象とする。そのプレイヤーは攻撃クリーチャー１体を生け贄に捧げる。
　BorrowedGrace,恩寵借用（おんちょうしゃくよう）,　3,4,　コモン,　インスタント,　２白,増呪(１)(白)（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つまたは両方を選ぶ。・ターン終了時まで、あなたがコントロールするクリーチャーは+2/+0の修整を受ける。・ターン終了時まで、あなたがコントロールするクリーチャーは+0/+2の修整を受ける。
　Brisela VoiceofNightmares,悪夢の声、ブリセラ（あくむのこえぶりせら）,　9,10,　レア,　伝説のクリーチャー,　５白白,あなたが消えゆく光、ブルーナを唱えたとき、あなたの墓地から天使(Angel)クリーチャー・カード１枚か人間(Human)クリーチャー・カード１枚を対象とする。あなたはそれを戦場に戻してもよい。飛行、警戒（《折れた刃、ギセラ/Gisela theBrokenBlade》と合体する。）飛行、先制攻撃、警戒、絆魂あなたの対戦相手は、点数で見たマナ・コストが３以下の呪文を唱えられない。
　ChokingRestraints,絞首束縛（こうしゅそくばく）,　9,10,　コモン,　エンチャント,　２白,エンチャント（クリーチャー）エンチャントされているクリーチャーでは攻撃したりブロックしたりできない。(３)(白)(白) 絞首束縛を生け贄に捧げる：エンチャントされているクリーチャーを追放する。
　CollectiveEffort,集団的努力（しゅうだんてきどりょく）,　9,10,　レア,　ソーサリー,　１白白,増呪―あなたがコントロールするアンタップ状態のクリーチャー１体をタップする。（２つ目以降に選ぶモード１つにつき、このコストを１回支払う。）以下から１つ以上を選ぶ。・パワーが４以上のクリーチャー１体を対象とし、それを破壊する。・エンチャント１つを対象とし、それを破壊する。・プレイヤー１人を対象とする。そのプレイヤーがコントロールする各クリーチャーの上に+1/+1カウンターをそれぞれ１個置く。
　CourageousOutrider,勇敢な先導（ゆうかんなせんどう）,　3,4,　アンコモン,　クリーチャー,　３白,勇敢な先導が戦場に出たとき、あなたのライブラリーの一番上からカードを４枚見る。あなたはその中から人間(Human)カード１枚を公開してあなたの手札に加えてもよい。残りをあなたのライブラリーの一番下に望む順番で置く。
　DawnGryff,夜明けのグリフ（よあけのぐりふ）,　2,2,　コモン,　クリーチャー,　２白,飛行
　DeploytheGatewatch,ゲートウォッチ配備（げーとうぉっちはいび）,　2,2,　神話レア,　ソーサリー,　４白白,あなたのライブラリーの一番上からカードを７枚見る。その中からプレインズウォーカー・カード最大２枚を戦場に出す。残りをあなたのライブラリーの一番下に無作為の順番で置く。
　DesperateSentry,捨て身の歩哨（すてみのほしょう）,　1,2,　コモン,　クリーチャー,　２白,捨て身の歩哨が死亡したとき、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、捨て身の歩哨は+3/+0の修整を受ける。
　DrogskolShieldmate,ドラグスコルの盾仲間（どらぐすこるのたてなかま）,　2,3,　アンコモン,　クリーチャー,　２白,瞬速（あなたはこの呪文を、あなたがインスタントを唱えられるときならいつでも唱えてよい。）ドラグスコルの盾仲間が戦場に出たとき、ターン終了時まで、あなたがコントロールする他のクリーチャーは+0/+1の修整を受ける。
　ExtricatorofFlesh,肉体からの解放者（にくたいからのかいほうしゃ）,　3,5,　アンコモン,　クリーチャー,　２白,罪からの解放者が戦場に出たとき、あなたは他のパーマネント１つを生け贄に捧げてもよい。そうしたなら、無色の3/2のエルドラージ(Eldrazi)・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。昂揚―あなたのアップキープの開始時に、あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれる場合、罪からの解放者を変身させる。あなたがコントロールするエルドラージ(Eldrazi)は警戒を持つ。(２) (Ｔ) エルドラージでないクリーチャー１体を生け贄に捧げる：無色の3/2のエルドラージ・ホラー(Horror)・クリーチャー・トークンを１体戦場に出す。
　FaithUnbroken,揺るぎない信仰（ゆるぎないしんこう）,　3,5,　アンコモン,　エンチャント,　３白,エンチャント（あなたがコントロールするクリーチャー）揺るぎない信仰が戦場に出たとき、対戦相手がコントロールするクリーチャー１体を対象とし、揺るぎない信仰が戦場を離れるまでそれを追放する。エンチャントされているクリーチャーは+2/+2の修整を受ける。
　FaithbearerPaladin,信仰持ちの聖騎士（しんこうもちのせいきし）,　3,4,　コモン,　クリーチャー,　４白,絆魂（このクリーチャーがダメージを与えると、さらにあなたはその点数分のライフを得る。）
　FiendBinder,悪鬼を縛る者（あっきをしばるもの）,　3,2,　コモン,　クリーチャー,　３白,悪鬼を縛る者が攻撃するたび、防御プレイヤーがコントロールするクリーチャー１体を対象とし、それをタップする。
　GeistoftheLonelyVigil,孤独な夜番の霊（こどくなやばんのれい）,　2,3,　アンコモン,　クリーチャー,　１白,防衛、飛行昂揚―あなたの墓地にあるカードにカード・タイプが合計４種類以上含まれるかぎり、孤独な夜番の霊は防衛を持たないかのように攻撃できる。
　Gisela theBrokenBlade,折れた刃、ギセラ（おれたやいばぎせら）,　4,3,　神話レア,　伝説のクリーチャー,　２白白,飛行、先制攻撃、絆魂あなたの終了ステップの開始時に、あなたが折れた刃、ギセラと《消えゆく光、ブルーナ/Bruna theFadingLight》という名前のクリーチャーを１体コントロールしているとともにそれらのオーナーである場合、それらを追放し、その後それらを《悪夢の声、ブリセラ/Brisela VoiceofNightmares》へと合体させる。
　GiveNoGround,一所懸命（いっしょけんめい）,　4,3,　アンコモン,　インスタント,　３白,クリーチャー１体を対象とする。ターン終了時まで、それは+2/+6の修整を受けるとともに、このターン、それは望む数のクリーチャーをブロックできる。
　GuardianofPilgrims,巡礼者の守護霊（じゅんれいしゃのしゅごれい）,　2,2,　コモン,　クリーチャー,　１白,巡礼者の守護霊が戦場に出たとき、クリーチャー１体を対象とする。ターン終了時まで、それは+1/+1の修整を受ける。
　IroncladSlayer,鉄覆いの処刑者（てつおおいのしょけいしゃ）,　3,2,　コモン,　クリーチャー,　２白,鉄覆いの処刑者が戦場に出たとき、あなたの墓地からオーラ(Aura)・カード１枚か装備品(Equipment)カード１枚を対象とする。あなたはそれをあなたの手札に戻してもよい。
　Ironwright'sCleansing,鉄大工の浄化（てつだいくのじょうか）,　3,2,　コモン,　ソーサリー,　２白,アーティファクト１つかエンチャント１つを対象とし、それを追放する。
　ItThatRidesasOne,同体騎手（どうたいきしゅ）,　4,4,　アンコモン,　クリーチャー,　１白,先制攻撃、絆魂終了ステップの開始時に、このターンにあなたが３点以上のライフを得ていた場合、単体騎手を変身させる。先制攻撃、トランプル、絆魂
　LongRoadHome,遥かなる旅路（はるかなるたびじ）,　4,4,　アンコモン,　インスタント,　１白,クリーチャー１体を対象とし、それを追放する。次の終了ステップの開始時に、そのカードをオーナーのコントロール下で、+1/+1カウンターが１個置かれた状態で戦場に戻す。
　LunarchMantle,月皇の外套（げっこうのがいとう）,　4,4,　コモン,　エンチャント,　１白,エンチャント（クリーチャー）エンチャントされているクリーチャーは+2/+2の修整を受けるとともに「(１) パーマネント１つを生け贄に捧げる：ターン終了時まで、このクリーチャーは飛行を得る。」を持つ。
　PeaceofMind,安らぎ（やすらぎ）,　4,4,　アンコモン,　エンチャント,　１白,(白) カードを１枚捨てる：あなたは３点のライフを得る。
　Providence,神の導き（かみのみちびき）,　4,4,　レア,　ソーサリー,　５白白,あなたはあなたのゲームの開始時の手札からこのカードを公開してもよい。そうしたなら、最初のアップキープの開始時に、あなたのライフの総量は26点になる。あなたのライフの総量は26点になる。
　RepeltheAbominable,忌の一掃（いみのいっそう）,　4,4,　アンコモン,　インスタント,　１白,このターンに人間(Human)でない発生源が与えるすべてのダメージを軽減する。
　SanctifierofSouls,魂の聖別者（たましいのせいべつしゃ）,　2,3,　レア,　クリーチャー,　３白,他のクリーチャーが１体あなたのコントロール下で戦場に出るたび、ターン終了時まで、魂の聖別者は+1/+1の修整を受ける。(２)(白) あなたの墓地からクリーチャー・カード１枚を追放する：飛行を持つ白の1/1のスピリット(Spirit)・クリーチャー・トークンを１体戦場に出す。
　SelflessSpirit,無私の霊魂（むしのれいこん）,　2,1,　レア,　クリーチャー,　１白,飛行無私の霊魂を生け贄に捧げる：ターン終了時まで、あなたがコントロールするクリーチャーは破壊不能を得る。
　Sigarda'sAid,シガルダの助け（しがるだのたすけ）,　2,1,　レア,　エンチャント,　白,あなたは、オーラ(Aura)呪文や装備品(Equipment)呪文を、それが瞬速を持っているかのように唱えてもよい。装備品が１つあなたのコントロール下で戦場に出るたび、あなたがコントロールするクリーチャー１体を対象とする。あなたはその装備品をそのクリーチャーにつけてもよい。
　SigardianPriest,シガルダ教の僧侶（しがるだきょうのそうりょ）,　1,2,　コモン,　クリーチャー,　１白,(１) (Ｔ)：人間(Human)でないクリーチャー１体を対象とし、それをタップする。
　SpectralReserves,霊体の予備兵（れいたいのよびへい）,　1,2,　コモン,　ソーサリー,　３白,飛行を持つ白の1/1のスピリット(Spirit)・クリーチャー・トークンを２体戦場に出す。あなたは２点のライフを得る。
　SteadfastCathar,不動の聖戦士（ふどうのせいせんし）,　2,1,　コモン,　クリーチャー,　１白,不動の聖戦士が攻撃するたび、ターン終了時まで、これは+0/+2の修整を受ける。
　SubjugatorAngel,支配の天使（しはいのてんし）,　4,3,　アンコモン,　クリーチャー,　４白白,飛行支配の天使が戦場に出たとき、対戦相手がコントロールするクリーチャーをすべてタップする。
　Thalia HereticCathar,異端聖戦士、サリア（いたんせいせんしさりあ）,　3,2,　レア,　伝説のクリーチャー,　２白,先制攻撃対戦相手がコントロールする、クリーチャーと基本でない土地はタップ状態で戦場に出る。
　Thalia'sLancers,サリアの槍騎兵（さりあのそうきへい）,　4,4,　レア,　クリーチャー,　３白白,先制攻撃サリアの槍騎兵が戦場に出たとき、あなたはあなたのライブラリーから伝説のカード１枚を探してもよい。そうしたなら、それを公開してあなたの手札に加え、その後あなたのライブラリーを切り直す。
　ThrabenStandardBearer,スレイベンの軍旗手（すれいべんのぐんきしゅ）,　1,1,　コモン,　クリーチャー,　白,(１)(白) (Ｔ) カードを１枚捨てる：白の1/1の人間(Human)・兵士(Soldier)クリーチャー・トークンを１体戦場に出す。
　AdvancedStitchwing,改良された縫い翼（かいりょうされたぬいつばさ）,　3,4,　アンコモン,　クリーチャー,　３青青,飛行(２)(青) カード２枚を捨てる：あなたの墓地から改良された縫い翼をタップ状態で戦場に戻す。
　ChillingGrasp,冷たいわしづかみ（つめたいわしづかみ）,　3,4,　アンコモン,　インスタント,　２青,クリーチャー最大２体を対象とし、それらをタップする。それらのクリーチャーは、それらのコントローラーの次のアンタップ・ステップにアンタップしない。マッドネス(３)(青)（あなたがこのカードを捨てるなら、これを追放領域に捨てる。あなたがそうしたとき、マッドネス・コストでこれを唱えるか、これをあなたの墓地に置く。）
　CoaxfromtheBlindEternities,久遠の闇からの誘引（くおんのやみからのゆういん）,　3,4,　レア,　ソーサリー,　２青,あなたはゲームの外部か追放領域にある、あなたがオーナーであるエルドラージ(Eldrazi)・カード１枚を選んでもよい。そうしたなら、それを公開してあなたの手札に加える。
　ContingencyPlan,有事対策（ゆうじたいさく）,　3,4,　コモン,　ソーサリー,　１青,あなたのライブラリーの一番上からカードを５枚見る。それらのうち望む枚数をあなたの墓地に置き、残りをあなたのライブラリーの一番上に望む順番で置く。
　Convolute,巻き込み（まきこみ）,　3,4,　コモン,　インスタント,　２青,呪文１つを対象とする。それのコントローラーが(４)を支払わないかぎり、それを打ち消す。
　VoraciousReader,貪欲な読書家（どんよくなどくしょか）,　3,4,　アンコモン,　クリーチャー,　１青,(Ｔ)：あなたのマナ・プールに(◇)を加える。このマナは、インスタント呪文かソーサリー呪文を唱えるためにのみ使用できる。あなたのアップキープの開始時に、あなたの墓地にインスタント・カードやソーサリー・カードが合わせて３枚以上ある場合、詮索好きのホムンクルスを変身させる。果敢（あなたがクリーチャーでない呪文を１つ唱えるたび、ターン終了時まで、このクリーチャーは+1/+1の修整を受ける。）あなたがインスタント呪文やソーサリー呪文を唱えるためのコストは(１)少なくなる。
　Displace,相変位（そうへんい）,　3,4,　コモン,　インスタント,　２青,あなたがコントロールするクリーチャー最大２体を対象とし、それらを追放する。その後、それらのカードをオーナーのコントロール下で戦場に戻す。
　FinalIteration,繰り返しつくしたもの（くりかえしつくしたもの）,　6,5,　レア,　クリーチャー,　３青青,飛行あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、青の1/1の人間(Human)・ウィザード(Wizard)・クリーチャー・トークンを１体戦場に出す。その後、あなたがウィザードを３体以上コントロールしているなら、完成態の講師を変身させる。飛行あなたがコントロールするウィザード(Wizard)は+2/+1の修整を受けるとともに飛行を持つ。あなたがインスタント呪文かソーサリー呪文を１つ唱えるたび、青の1/1の人間(Human)・ウィザード・クリーチャー・トークンを１体戦場に出す。
　DragUnder,引きずり込み（ひきずりこみ）,　6,5,　コモン,　ソーサリー,　２青,クリーチャー１体を対象とし、それをオーナーの手札に戻す。カードを１枚引く。
